#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2          
       2.359537241734e-04       9.467303007286e+05       9.467136051731e+05       1.259667014075e+06       1.259240146796e+06       0.000000000000e+00       9.556542097351e+05 
       2.970481393694e-04       6.846899807450e+05       6.846708305215e+05       9.098914715641e+05       9.094510804323e+05       0.000000000000e+00       6.911093223944e+05 
       3.739614511783e-04       5.193367627948e+05       5.193137304644e+05       6.888082767626e+05       6.883165203118e+05       0.000000000000e+00       5.241643307194e+05 
       4.707895739198e-04       4.149790883043e+05       4.149499092391e+05       5.486982827549e+05       5.481067395432e+05       0.000000000000e+00       4.187841471551e+05 
       5.926889582153e-04       3.490913530051e+05       3.490524367858e+05       4.593231302988e+05       4.585631061577e+05       0.000000000000e+00       3.522225989935e+05 
       7.461511907871e-04       3.074517937212e+05       3.073974534257e+05       4.014022846892e+05       4.003718803511e+05       0.000000000000e+00       3.101128321318e+05 
       9.393486951224e-04       2.810728395827e+05       2.809940696074e+05       3.624612861642e+05       3.610080719792e+05       0.000000000000e+00       2.833666579011e+05 
       1.182569942825e-03       2.642614532112e+05       2.641440013970e+05       3.341636960379e+05       3.320632416507e+05       0.000000000000e+00       2.662139491553e+05 
       1.488767352247e-03       2.533883321466e+05       2.532093612848e+05       3.105673502170e+05       3.075123489670e+05       0.000000000000e+00       2.549571106058e+05 
       1.874247051993e-03       2.461124304321e+05       2.458359802771e+05       2.869956449442e+05       2.825801129425e+05       0.000000000000e+00       2.471852805029e+05 
       2.359537241734e-03       2.408805364037e+05       2.404504317567e+05       2.593635377955e+05       2.531279480093e+05       0.000000000000e+00       2.412692815093e+05 
       2.970481393694e-03       2.365952870301e+05       2.359232210786e+05       2.240301737309e+05       2.156789708305e+05       0.000000000000e+00       2.360361910021e+05 
       3.739614511783e-03       2.324079035745e+05       2.313559425577e+05       1.785484019696e+05       1.684253058552e+05       0.000000000000e+00       2.305915568805e+05 
       4.707895739198e-03       2.275894168547e+05       2.259440049243e+05       1.238086339634e+05       1.136594136051e+05       0.000000000000e+00       2.242575396836e+05 
       5.926889582153e-03       2.214803985133e+05       2.189150510275e+05       6.744151019782e+04       6.080493385597e+04       0.000000000000e+00       2.166150357971e+05 
       7.461511907871e-03       2.135271099641e+05       2.095525500772e+05       2.504172171890e+04       2.516689316409e+04       0.000000000000e+00       2.075427154934e+05 
       9.393486951224e-03       2.033779375885e+05       1.972825708125e+05       1.014294284779e+04       1.417886880069e+04       0.000000000000e+00       1.969796612333e+05 
       1.182569942825e-02       1.909149550646e+05       1.817108918100e+05       1.207218166980e+04       1.160555884039e+04       0.000000000000e+00       1.844000436258e+05 
       1.488767352247e-02       1.760996565478e+05       1.625226062027e+05       5.814691508140e+03       4.605622417104e+03       0.000000000000e+00       1.691532403554e+05 
       1.874247051715e-02       1.588722485098e+05       1.395478548379e+05       2.754728537281e+03       3.615395320886e+03       0.000000000000e+00       1.514767593325e+05 
       2.359536668681e-02       1.393762267631e+05       1.133640977873e+05       1.484696506410e+03       1.504926822813e+03       0.000000000000e+00       1.314704926976e+05 
       2.970302398200e-02       1.182493245825e+05       8.620426907803e+04       1.187927914544e+03       7.390945805999e+02       0.000000000000e+00       1.100117091570e+05 
       3.727656697122e-02       9.727535445744e+04       6.302871178294e+04       9.309122888433e+02       3.894278735528e+02       0.000000000000e+00       8.929183811131e+04 
       4.510997342281e-02       8.124007394069e+04       5.060300163045e+04       2.418275881448e+02       2.406000266980e+02       0.000000000000e+00       7.425181486028e+04 
       5.082061404433e-02       7.256883959238e+04       4.692368839227e+04       1.779784685680e+02       1.776783237021e+02       0.000000000000e+00       6.658823830300e+04 
       5.524286577630e-02       6.718926747643e+04       4.581190921618e+04       1.407987006054e+02       1.405599395319e+02       0.000000000000e+00       6.201258418192e+04 
       5.906055186455e-02       6.324172020893e+04       4.533033634674e+04       1.169784157517e+02       1.167790806800e+02       0.000000000000e+00       5.870607431617e+04 
       6.255413683990e-02       6.004387932092e+04       4.485957860506e+04       9.973673816402e+01       9.956614188769e+01       0.000000000000e+00       5.601527595937e+04 
       6.586053288356e-02       5.727935942735e+04       4.414165064330e+04       8.630589768426e+01       8.615790024984e+01       0.000000000000e+00       5.364166891365e+04 
       6.905723416605e-02       5.477790355173e+04       4.306702476963e+04       7.533455594603e+01       7.520520701241e+01       0.000000000000e+00       5.142908671632e+04 
       7.219301401953e-02       5.243994122042e+04       4.160078447561e+04       6.608323724495e+01       6.596976635478e+01       0.000000000000e+00       4.929064848380e+04 
       7.530111539440e-02       5.020620673156e+04       3.975957368225e+04       5.811772882407e+01       5.801804396741e+01       0.000000000000e+00       4.718035456096e+04 
       7.840567061222e-02       4.804315907935e+04       3.759783398296e+04       5.116997309639e+01       5.108239063473e+01       0.000000000000e+00       4.507904336203e+04 
       8.152513313030e-02       4.593518709238e+04       3.519975277541e+04       4.506805273341e+01       4.499114328962e+01       0.000000000000e+00       4.298677775134e+04 
       8.467424987676e-02       4.387964137364e+04       3.267082880944e+04       3.969702984968e+01       3.962952971611e+01       0.000000000000e+00       4.091748854461e+04 
       8.786526176614e-02       4.188339629715e+04       3.013025225944e+04       3.497600990765e+01       3.491677071199e+01       0.000000000000e+00       3.889499564112e+04 
       9.110866912558e-02       3.995962564163e+04       2.770069441482e+04       3.084317136114e+01       3.079113511297e+01       0.000000000000e+00       3.694880891156e+04 
       9.441373863813e-02       3.812489786197e+04       2.549812087058e+04       2.724633399249e+01       2.720052392094e+01       0.000000000000e+00       3.511019455741e+04 
       9.778884981050e-02       3.639626447367e+04       2.362132816864e+04       2.413687114793e+01       2.409639245265e+01       0.000000000000e+00       3.340819371336e+04 
       1.012417379888e-01       3.478785349210e+04       2.213875121556e+04       2.146521714225e+01       2.142926512105e+01       0.000000000000e+00       3.186481923332e+04 
       1.047796684653e-01       3.330853631842e+04       2.108156038735e+04       1.917966888717e+01       1.914753761267e+01       0.000000000000e+00       3.049209159227e+04 
       1.084095633460e-01       3.195955782114e+04       2.043634517332e+04       1.722584696545e+01       1.719693767529e+01       0.000000000000e+00       2.928898156183e+04 
       1.121380952021e-01       3.073326915372e+04       2.014372600403e+04       1.554790338473e+01       1.552172903983e+01       0.000000000000e+00       2.824016076004e+04 
       1.159717568403e-01       2.961291708233e+04       2.010266890912e+04       1.409071265069e+01       1.406689684236e+01       0.000000000000e+00       2.731648780689e+04 
       1.199169135809e-01       2.857380874326e+04       2.018104039923e+04       1.280269875541e+01       1.278096790863e+01       0.000000000000e+00       2.647757324115e+04 
       1.239798425344e-01       2.758594733533e+04       2.023277365481e+04       1.163893397859e+01       1.161910251167e+01       0.000000000000e+00       2.567655803020e+04 
       1.281667621284e-01       2.661800127763e+04       2.011927320465e+04       1.056385990761e+01       1.054580944054e+01       0.000000000000e+00       2.486663090351e+04 
       1.324838543177e-01       2.564239568210e+04       1.973333843586e+04       9.553331509173e+00       9.536985873388e+00       0.000000000000e+00       2.400884911607e+04 
       1.369372813641e-01       2.464037445440e+04       1.902036291129e+04       8.595267530217e+00       8.580566811821e+00       0.000000000000e+00       2.307951929823e+04 
       1.415331987090e-01       2.360595726306e+04       1.799217068464e+04       7.688664692714e+00       7.675542019173e+00       0.000000000000e+00       2.207554945824e+04 
       1.462777652215e-01       2.254758873017e+04       1.672892306965e+04       6.840919041221e+00       6.829283699768e+00       0.000000000000e+00       2.101609034415e+04 
       1.511771519483e-01       2.148679906046e+04       1.536610432326e+04       6.063852570179e+00       6.053582154878e+00       0.000000000000e+00       1.993945210709e+04 
       1.562375503892e-01       2.045372198499e+04       1.406695855748e+04       5.369182643119e+00       5.360125286335e+00       0.000000000000e+00       1.889522691846e+04 
       1.614651812594e-01       1.948034842521e+04       1.298506221461e+04       4.764257847861e+00       4.756243355978e+00       0.000000000000e+00       1.793305183924e+04 
       1.668663046590e-01       1.859116135604e+04       1.222371656669e+04       4.248958274468e+00       4.241815825398e+00       0.000000000000e+00       1.708874200749e+04 
       1.724472325463e-01       1.779661189993e+04       1.180572302155e+04       3.814886500203e+00       3.808463483180e+00       0.000000000000e+00       1.637433518742e+04 
       1.782143443942e-01       1.708821351085e+04       1.166246383280e+04       3.446509690876e+00       3.440687069098e+00       0.000000000000e+00       1.577240809549e+04 
       1.841741068990e-01       1.644083030861e+04       1.165129296476e+04       3.124754215215e+00       3.119453467910e+00       0.000000000000e+00       1.524060479821e+04 
       1.903330986032e-01       1.582319321749e+04       1.160338994506e+04       2.832386742008e+00       2.827565402554e+00       0.000000000000e+00       1.472755214429e+04 
       1.966980402935e-01       1.519701649535e+04       1.136505520772e+04       2.555514736830e+00       2.551157584273e+00       0.000000000000e+00       1.417843977925e+04 
       2.032758320426e-01       1.454132764275e+04       1.086782231351e+04       2.288851209200e+00       2.284951308585e+00       0.000000000000e+00       1.356564408634e+04 
       2.100735977853e-01       1.385956555379e+04       1.015324736054e+04       2.035135490154e+00       2.031677023239e+00       0.000000000000e+00       1.289832414995e+04 
       2.170987383641e-01       1.317659980283e+04       9.354548870705e+03       1.801779601675e+00       1.798728449856e+00       0.000000000000e+00       1.221717848708e+04 
       2.243589940562e-01       1.252360380869e+04       8.635483188088e+03       1.595727692863e+00       1.593033144424e+00       0.000000000000e+00       1.157272863530e+04 
       2.318625177160e-01       1.192585007144e+04       8.118755224865e+03       1.420043865612e+00       1.417648007864e+00       0.000000000000e+00       1.100439809817e+04 
       2.396179598479e-01       1.139409319327e+04       7.832806650650e+03       1.272626472583e+00       1.270476163162e+00       0.000000000000e+00       1.052533425086e+04 
